Title,Category Name,Experience,Sub Category Name,Currency,Budget,Location,Freelancer Preferred From,Type,Date Posted,Description,Duration,Client Registration Date,Client City,Client Country,Client Currency,Client Job Title
Wood Lathe (EN to FR),Writing & Translation,Entry ($),Translation,GBP,15.0,remote,ALL,fixed_price,2023-01-26 10:54:50,"Wood Lathe (English to French)
Turnaround 48 hrs

",,2018-10-10,Saffron Walden,United Kingdom,GBP,Marketing
Minute-taking collaboration,Writing & Translation,Entry ($),Business Writing,GBP,48.0,remote,ALL,fixed_price,2023-01-26 10:51:12,"Hello,

I am reaching out today as I need need help with our minute-taking projects. 
Service required: remote attendance minute-taking (this means attending live from home our client’s meetings during which time you will be required to take notes of what’s being discussed; then you’ll be required to write up the full summary (in other words the formal minutes) of the meeting you attended based on the notes you’ve taken during the call.)
Language combinations:
- Cantonese into English (meetings will be in Cantonese and you will be required to produce the summary straight into English, which is going to be your final deliverable to our client)
Specialism: our client is a global bank, however the meetings you’ll have to attend are going to be interviews and case calls for their Employee Relations teams. 
Turnaround time: you will have 24-48 hours to complete the summary of each attended meeting
To assess your suitability for the role, could you please confirm:
1.	If you have experience with professional writing into the requested target language?
2.	If you are able to cover these meetings remotely considering the location requirement? You must be based in China\Singapore.. Does that work for you given your current location? 
Please note that Global Lingo pays minute-takers per minute of meeting and this rate comprises the effort of both attending the call + taking notes and then completing the final summary.  
Finally, please note that you will have to attend our live induction/training sessions (one for each language combo) ahead of the project start. During that session, you will also be required to take a live minute-taking test which will simulate a real-life scenario. This step is absolutely mandatory to ensure a consistent quality level of the entire dedicated team. 
",,2022-01-12,Dej,Romania,USD,
Wordpress Web Design ,Design,Entry ($),Web Design,GBP,6.0,remote,ALL,fixed_price,2023-01-26 10:49:25,"I am looking for a Wordpress web designer to design my website to look exactly like the attached template.  I have the domain name, hosting and all illustrations. I only need the design or template for the Home Page and then 6 additional pages (all the same look with a separate illustration and title) ",,2020-11-10,Kirkwall,United Kingdom,GBP,
Australian English Voice Over Artist required,Music & Audio,Entry ($),Voice-Over,USD,30.0,remote,ALL,hourly,2023-01-26 10:51:12,"Hi,

I have a few hundred words to record in English with Australian accent by a male artist. 

If you are available to do immediately, pl write to us.

Thank you.",,2011-12-13,Mumbai,India,USD,Consultant
I need a logo created,Design,Entry ($),Logo Design,EUR,50.0,remote,ALL,fixed_price,2023-01-26 10:51:12,"I need a logo created for an assisted living care cooperation. 
I will send you more information on request.",,2020-01-17,Veldhoven,Netherlands,EUR,MARKETEER | DESIGNER | STYLIST
2 Instagram Accounts initiation ,Digital Marketing,Expert ($$$),eCommerce Marketing,GBP,150.0,remote,ALL,fixed_price,2023-01-26 10:52:18,"This is a project for a mobile home manufacturer and dealer in the united kingdom 
The goal of the company through it's Instagram accounts is to grow brand awareness and to drive leads from the gypsy and traveller community to rent and buy mobile homes with affordable prices.

Quality is a key in this project when it comes to the posts.

i have already initiated the 2 Instagram accounts but we are still working on gathering good videos and images which i should have soon by next week.

what i want is the following.

1- To create about 8 - 10 personalized branded templates with our logos for each  
2- To make 5 tab icons for each account  (About us , Services, etc....)
3- To grow each account to reach a 1000 genuine followers with in one month.

Btw , one of the accounts has already been on and has about 700 followers, so will be easy to grow that one.
please when it comes to growing the followers , i mean real growth hence, no fake profiles or bots please ",,2022-08-22,Stafford,United Kingdom,GBP,
xml export ,Technology & Programming,Entry ($),Programming & Coding,GBP,50.0,remote,ALL,fixed_price,2023-01-26 10:51:12,"Export data Order from Amazon Selle, to XML file",,2019-07-01,Rome,Italy,GBP,
I need a gift certificate for business ,Design,Expert ($$$),Cards & Stationery,GBP,107.0,remote,ALL,fixed_price,2023-01-26 10:51:12,"I’m looking for someone to design us a gift voucher for my hair salon i would like it in black and the logo in gold, credit card sized 
Want something with the wow factor ",,2023-01-26,Saxmundham,United Kingdom,GBP,
Images appearing in Google Search Results,Technology & Programming,Expert ($$$),Programming & Coding,GBP,363.0,remote,ALL,fixed_price,2023-01-26 10:01:16,"I have an issue on my WordPress blog where images are often not appearing in search results. All images are at least 1200px with alt text matching the text around them.

Looking for a developer who can investigate why images would not be appearing in search results. 

Specifically talking about images alongside text search results, NOT in image results on google images.  See attached image for an example. 

Website - https://anywhereweroam.com/

Please only respond if you have some ideas as to what technical or theme issues could potentially be causing an issue, not just general guidelines that I could read online. ",,2017-08-16,Wisbech,United Kingdom,GBP,
Looking for Guest post from the sites I have selected,Digital Marketing,Entry ($),SEO,USD,50.0,remote,ALL,fixed_price,2023-01-26 09:56:27,"Hello, I have selected a few sites and I would like to get guest posts from those sites. Please check the below sites and let me know if you are able to get me a guest post from those sites.

https://intheplayroom.co.uk/
https://www.dreamlandsdesign.com/
https://www.crowdyhome.com/
https://homesenator.com/
http://www.dailydreamdecor.com/
https://brazendenver.com/
https://pursuitist.com/
https://mytunbridgewells.com/
https://diversitynewsmagazine.com/",,2022-11-01,London,United Kingdom,USD,
Leaflet design,Design,Expert ($$$),Graphic Design,GBP,88.0,remote,ALL,fixed_price,2023-01-26 09:45:06,Need a A5 leaflet designed in full colour 2 sided.,,2012-07-22,Chelmsford,United Kingdom,GBP,Director
I need someone to write me linkedin posts on Phishing scams,Writing & Translation,Entry ($),Content Writing,GBP,42.0,remote,ALL,fixed_price,2023-01-26 09:20:01,"Hi, I need someone to write me posts on a regular basis on email potential scams specifically phishing and email scams. I can explain in more detail to you on a call. I am happy to work on a regular weekly basis if the content is of good engaging quality. Many thanks. ",,2019-03-06,Cholsey,United Kingdom,GBP,
"""Unlock Your Imagination"" Looking for a children's illustrator",Design,Expert ($$$),Illustration & Drawing,GBP,24.0,remote,ALL,hourly,2023-01-26 08:44:53,"OBJECTIVE:
To create a set of playful and engaging illustrations for a new toddler and baby brand that will appeal to both children and parents.

Target Audience: Parents and caregivers of babies and toddlers (ages 0-3)

Key Message: Our brand is all about fostering creativity, imagination, and learning in young children through fun and interactive products.

There will be 2 visual styles and we can share a figma board that we started to provide some initial guidance.

**1st Visual Style**
Bright, colorful, and playful with a focus on children's themes like:

1. Pirates
2. Dinosaurs
3. Space / Planets
4. Unicorns
5. Stars
6. Zoo Animals
*not limited too

These should be easily recognizable to young children. The illustrations should be inspired by the natural world and should be engaging and interactive for children.

We are looking for a cross between:

Realistic: This style aims to depict people, animals, and objects as they appear in real life. It often uses detailed drawings and accurate colors. This style can be used for educational books for children.

Fantasy: This style is characterized by imaginative and fantastical elements such as magical creatures, enchanted landscapes, and otherworldly settings. It is often used in fairy tales, myths, and other stories that appeal to a child's sense of wonder and imagination.

**2nd Visual Style: 'Scandi Mum'**

Scandinavian mum style, often referred to as ""Scandi mum"" style, is a minimalistic and functional approach to parenting and motherhood. This style is characterized by a focus on simplicity, practicality, and comfort. It is often associated with the Nordic countries of Denmark, Sweden, Norway, and Finland, and is known for its clean lines, neutral colors, and natural materials.

Scandi mum style is often reflected in the way that mothers dress, with a focus on comfortable and functional clothing that is easy to move in. This can include items such as oversized sweaters, leggings, and practical shoes. The color palette is typically neutral, with a mix of gray, black, white, and beige tones.

The aesthetic is also reflected in the way that mothers decorate their homes, with a focus on minimalism and functionality. This often includes natural wood elements, light-colored walls, and simple, uncluttered spaces.

Scandinavian mum style is also associated with an emphasis on outdoor living and an active lifestyle. This is often reflected in the way that mothers dress their children, with a focus on practical, functional clothing that can easily be worn while playing outside.

In summary, Scandinavian mum style is a minimalist, practical and comfortable approach to parenting and motherhood, characterized by simple, natural materials, neutral colors and an active lifestyle

Tone: The illustrations should be upbeat and positive, with a focus on fun and learning. They should inspire a sense of wonder and curiosity in young children, and should encourage them to explore and discover the world around them.

Deliverables: A set of illustrations suitable for use across our range of products packaging, advertising materials, and in-store displays.

This can include illustrations of individual products, scenes featuring the products in use, and standalone illustrations that convey the brand's message and values.

Timeline: The illustrations should be completed within 4 weeks.",,2023-01-26,Riyadh,Saudi Arabia,USD,
Looking for dynamic salesperson for Luxury event business brand,"Marketing, Branding & Sales",Expert ($$$),Sales & Calls,GBP,110.0,remote,ALL,fixed_price,2023-01-26 08:44:19,"Good day,
I am looking for a dynamic go getter sales person to bring in sales for our international luxury event management business. The person needs to be based in the UK , fluent in english and business connections in the industry will be advantageous. This is a COMMISSION based position so you can choose your hours of work,when and how . There is an earning potential of anywhere from £500 to £5000.00 up per event sales brought in. Please contact me if you have experience in the industry, you work well without being micromanaged and you are have outstanding sales and customer relationship skills. This is a growing organisation that has over 15 years experience and has huge potential. 
",,2020-09-03,Rome,Italy,GBP,Event & Marketing Expert
Lighthouse expert to increase WordPress speed to 100 on mobile,Technology & Programming,Entry ($),CMS Development,USD,20.0,remote,ALL,hourly,2023-01-26 08:08:33,"Hello,

We are looking for a website speed optimization expert to help us increase our mobile performance ranking in Google Lighthouse.

We are using the inbuilt lighthouse speed checker in Google Chrome browser.

As shown in the attached screenshots, our current Lighthouse rankings are 90 on mobile and 97 on desktop.

Currently, the major problems we are facing are:

1. Excessive DOM Size
2. High Cummulative Layout Shift
3. High initial server response time
4. More Render-blocking resources
5. High main-thread work

We would like you to document your process, and make sure everything fits in our Tech stack, and within Kinsta's guidelines.

We are using WordPress, WP Rocket, Perfmatters, and Kinsta hosting.

https://kinsta.com/knowledgebase/banned-plugins/
https://kinsta.com/blog/wp-rocket/
https://onlinemediamasters.com/perfmatters-settings/

Please include an example of a website you optimized to 100 raking on Lighthouse mobile.

We are willing to increase the budget.

Thank you.


 ",,2022-01-11,Kampala,Uganda,USD,Senior Content Writer and Web Developer
Make 2D icons into 3D icons,Design,Expert ($$$),3D Design,GBP,25.0,remote_country,GB,hourly,2023-01-26 08:04:17,"We are having some icons produced for a website we are creating for one of our clients. See attached JPG for work in progress. We would like to print 3D versions for use in their retail space. I am guessing that the first stage in delivering that process is to create 3D designs. Please tell me if I am wrong. There are 30 icons in total. They will all be about 50cm x 50cm x 50cm in size (very rough dimensions for now) which I am telling you in case it is relevant. They could be bigger (1m cubed) or smaller (25cm cubed) but that is the best I can say for now. We may not do them all, we might do some of the easier ones, we might even redesign them if they don't work that well for 3D printing purposes. In fact, we might even use 3D versions on the website - in time, we might even animate them. We have already animated the 2D versions. So, the first stage in the process is to find the person we want to work with on this project from a 3D design perspective. If you have experience of turning 3D design work into physical outputs, perfect. If you can also help with animation, even better. Many thanks, Steve (Director at Abacus).",,2011-12-12,London,United Kingdom,GBP,Managing Director
brochure for business,Design,Expert ($$$),Cards & Stationery,EUR,224.0,remote,ALL,fixed_price,2023-01-26 07:42:50,I need a brochure that shows the holiday house and my therapy business,,2023-01-11,London,United Kingdom,EUR,
Logo and brand colours,Design,Expert ($$$),Logo Design,GBP,150.0,remote_country,GB,fixed_price,2023-01-26 07:42:50,"Initial visual identity for a new property development company based in the UK.

Required scope:
1.	Company logo
2.	Favicon / symbol (ideally part of the main logo)
3.	Corporate colour palette
Note. At this stage it is not necessary to create a full ‘brand guidelines’ document.
",1 - 2 weeks,2023-01-10,Buckingham,United Kingdom,GBP,
I need a 2d design ,Design,Entry ($),Graphic Design,EUR,15.0,remote,ALL,fixed_price,2023-01-26 07:42:50,"I need a designer to photoshop a photo to use it in our banner:
The photo is composed of truck and dashboard",,2022-09-07,Hellevoetsluis,Netherlands,EUR,
Sewing help for production of baby comforters and burp cloths,Design,Intermediate ($$),Fashion & Clothing,GBP,80.0,remote_country,GB,fixed_price,2023-01-26 07:44:04,"Hello! I'm seeking some help with bulk production.
It is important that you are happy sewing curves and sharp corners.

I am looking at 60+ items varying in sizes when I find the right person. Initially looking at 5 comforters and 5 burp coths as a trial.

I have attached a photo so you can to see the exact shape of the item.
Each comforter will require:
- Sewing following a seam allowance.
- Trimming around for perfect round shapes and sharp corners.
- Turning and pressing, adding label, and sensory ribbons. 

All material and thread will be provided.

Please provide a quote with how much you charge per hour or per item.

I look forward to hearing from you!
Dominique ",Ongoing,2023-01-07,London,United Kingdom,GBP,
Build Us A Phase 1 Q & A CMS PHP website!,Design,Expert ($$$),Web Design,GBP,1450.0,remote,ALL,fixed_price,2023-01-26 06:53:36,"*** XONPM is a professional buyer, we rate 5 out of 5 in freelancer for many years. We respond fast, and release money fast for our projects, if you are interested to work for us, kindly read the job description and reply to us with your best bid.

This is a Q&A website, registered users select subjects for testing, and content is prepared in admin CMS.
Answer correctly to get point, the point used to feed an animal.

*** Job description ***
:: Platform: PHP MySQL in Linux environment
:: Database: New project so you could create tables and fields
:: Front end: Responsive site using Bootstrap studio, so you will work on these exported files for php coding

Tasks
:: Admin create chapter, sub chapter, questions, answer and keywords (refer to attached image)
:: Public can register and Login
:: User select subject to do questions
:: Matching answer to keywords
:: Correct answer (self marking) to get point
:: Point used to feed an animal
:: Log all the answers

Thanks",,2023-01-26,Perth,Australia,USD,
I need a Logo Redesign Font Change,Design,Expert ($$$),Logo Design,GBP,28.0,remote,ALL,hourly,2023-01-26 06:53:36,"Hi, 
My current brand name is ""Olav"" with a styled letter ""O"". Please find the logo attached.

I now want to create a brand name called ""Olavson"", also with the styled ""O"" in the beginning. However, as the word is a lot longer, we are looking for a typeface design that makes the appearence of the logo more less long and heavy. 

Task 1:
Please find examples of a new typeface idea applied to the olav_different style logo attached. A fontstyle to check out for inspiration is e.g. allbirds.com. Create some versions of Olavson in a different typeface, but keep the ""O"" unchanged. 

Task 2:
Create a logo for Olavson where Olavson is written in a normal font with the ""O"" in the beginning but inverted with a petrol box (Hex: 18404b), like the logo of awaytravel.com.",,2023-01-26,London,United Kingdom,GBP,
I need an English and French translator,Writing & Translation,Intermediate ($$),Translation,GBP,16.0,remote,ALL,hourly,2023-01-26 06:41:50,"Hello

I need a professional person with good translation and typing skills

BASIC REQUREMENT
- able to translate from English to French
-Good typing skill
-able correct wrong spellings
-have basic knowledge in English and French 

thanks & Regards
Amar Exports",,2023-01-26,London,United Kingdom,GBP,
Training and coaching for Xero and Projects,Business,Expert ($$$),Finance & Accounting,USD,42.0,remote,ALL,hourly,2023-01-26 05:22:47,"I run a small consultancy and currently handle the financial and project day to day management. 

I run a consultancy where the main sales are associated with selling subcontractors time for specific projects with multiple clients. 

Subcontractors use Projects to track their time on each project and clients have access to Projects to view overall project progress.  

I need someone to step me through:
- Basic housekeeping for managing projects (setting up jobs once a quote is accepted) both in Xero (for the financing) and Projects (for the time management) and show me how the two programs link. 
- How to undertake basic Xero tasks easily - building understanding of the basic processes.
- How to set up invoices for a multi stage project that can be issued when a stage is complete (not recurring invoice - each stage amount is different and the invoices need to be released). 
- How to set up users in Projects, including adding in their cost rate and sale rate for individual projects. 
- How to manage what users in Projects can see (e.g. limit to the projects they are working on). 

I have been using Xero for a couple of years but am not getting the most out of it and need someone patient and knowledgeable to train me.  I am out of my depth and need someone to help me set up my Xero and Projects affairs properly. 

",,2015-05-07,Greensborough,Australia,USD,Town Planner - policy specialist
UI/UX DESIGNER,Technology & Programming,Intermediate ($$),Programming & Coding,USD,27.0,remote_country,US,hourly,2023-01-26 03:13:40,"As UI/UX Designer, you will work closely with studio partners, other platform team members (product managers and engineers), and Founders-in-Residence to quickly validate/invalidate opportunities and drive validated opportunities to launch. The successful candidate will have a passion for user-centric design at the earliest stages of a product’s lifecycle, creating value through entrepreneurial efforts, creative problem-solving, and strategic thinking extending beyond the traditional limits of the product design purview.

JOB Responsibilities:

Participate in all aspects of company's ideation, discovery, and validation processes
Support concept ideation, validation and launch through user research and workflow creation, wireframing, and prototyping
Develop high-fidelity and proof-of-concept prototypes using both Figma and no-code solutions (e.g., Bubble, Webflow, Wix, WordPress, etc.)
Apply lean methodologies to support efficient validation/invalidation of identified opportunities
Drive the earliest stages of a portfolio company’s product design, in partnership with the responsible Mountain partner, Founder-in-Residence, and/or product manager
Partner with product management and engineering teams to ensure successful and timely delivery of products
Act as a strategic partner to portfolio company leadership, creating value wherever and however possible
Support Mountain efforts to continually improve internal activities and processes facilitating efficient product ideation, validation, launch, and growth
Actively participate in new business opportunity ideation
Provide support with general graphic and brand design requirements, as needed

JOB Qualifications:

Passion for 0 to 1 product design and excitement for the opportunity to work with numerous new businesses at any given time
Meaningful experience in UX/UI design or similar discipline within high-performance, early-stage tech environment
Solid understanding of and ability to apply UX/UI and product design best practices
Familiarity with or willingness to learn no-code prototyping/web-builder apps such as Bubble, Wordpress, Webflow, or Wix
Humility, desire to learn, and bias for action
Willingness to engage wherever and however needed to help create value
Fluency in Figma or similar design tool
Experience using no-code solutions and/or writing simple front-end code
Undergrad degree from a top university in design or a related field",1 - 6 months,2023-01-26,Amsterdam,Netherlands,EUR,
3D technical illustrations & animation (series of projects),"Video, Photo & Image",Expert ($$$),Image Editing,USD,200.0,remote,ALL,fixed_price,2023-01-26 03:02:22,"3D modeling, rendering (as still images in different views) and animation of simple machine

Right now I am looking at portfolios to select an artist - specific details will come when I have narrowed my search to 2 or 3 artists.

Work is to be done in Blender. At conclusion of each project after you have been paid, Blender application files will also be delivered to me.

Creative process: I will supply any 2D graphics as needed for references and foundational elements for creating modeling elements.

After the project is completed, I want to also arrange a series of instructional sessions to go through the process to show how the file is built from scratch (this is a separate billable item to be arranged at an agreed upon price in addition to the creative project fee - this may be done on a Zoom basis or whatever system the artist thinks would work best). For this, the artist will need to be a good and clear communicator with good organizational & people skills. 

There will most likely be a series of illustrations & animations needed. Although I am also working on getting up to speed with Blender, I may not always have time to do some of these projects myself so I am looking for someone that will be available for ongoing work.

Please send only a few specific examples of your work or a few specific links to view - I do not want to be overwhelmed with tons of content to wade through - a few good examples is all I need to get an idea of your suitability for this work (technical, simple machine rendering & animation - high quality, photo-realistic). As to level of complexity - think of a garage door that can be rendered from different angles and can be animated showing it going up and down; or, a locker opening and closing.

Pricing for this will have to wait until you have all details (sets of 2D drawings  showing front, side, top views will be supplied to give a full understanding for what is needed). Prior to project commencement, a NDA will be sent and details will follow after NDA is signed and returned to me. Additional clarification can also be via email communications, phone discussion and zoom sessions - there are also some photographic references and other visualization resources.

The price plugged in below is not relevant since PPH requires an amount to post the job, price will be determined after you have all the details and the NDA is signed.",,2014-01-15,San Antonio,United States,USD,
Fix small problems in WordPress theme.,Technology & Programming,Entry ($),Website Development,GBP,15.0,remote,ALL,fixed_price,2023-01-26 02:54:12,"I have a WP installation running on https://petitpoi.net with a Wabi theme that has been modified.

I need help with:
1. Fixing the appearance of backgrounds of featured images which broke with some update. Used to be as in A, now displays as B. I'm not concerned with the rounded corners.
2. Extend the 'notch' which is implemented in some templates (D) but not others (C).

I can supply the child theme. There are multiple template clones which use the same design.",,2019-11-27,Nottingham,United Kingdom,GBP,
Strategy to transform organisation during Migrating to AWS,Technology & Programming,Intermediate ($$),Data Science & Analysis,GBP,300.0,remote,ALL,fixed_price,2023-01-26 02:54:21,"Enhancing a current draft with greater detail of transformation, the governance of a migration

A Step by step guide to enable an Enterprise Migration to be initiated, launched, executed, tracked to completion. ",,2021-03-06,London,United Kingdom,GBP,
Graphic design to promote a valentines campaign ,Design,Entry ($),Graphic Design,GBP,30.0,remote,ALL,fixed_price,2023-01-26 02:54:17,"We are dental practice looking for a graphic designer
to create 3 items for a valentines tooth whitening promotion.

1- a poster which we can print in varying sizes.
2- a small folded card (like a greeting card) which has the promotional information to give to patients (like a gift voucher)
3- a poster image for a tv screen with the same promotional information on

As they are all for the same campaign I would like the imagery and look to be synonymous but with a slight variation in each.
Along the theme of valentines and love but keeping it professional as we are a dental practice.

We can use our existing logo within this design.

We have a neutral colour scheme but can add in any red/pink as it is seasonal while maintaining the sleek professional look",,2023-01-22,Bradford,United Kingdom,GBP,
Seo writing ,Writing & Translation,Expert ($$$),Content Writing,GBP,88.0,remote,ALL,fixed_price,2023-01-26 03:09:02,"


We're looking for a talented writer, who can help us write content on our collection pages, and other pages of our website, for SEO Purposes. We have hundreds of collections, brand pages, and blog needs, which all need a good amount of seo content writing. Perfect English required Ability",,2023-01-25,London,United Kingdom,GBP,
Breathing Circle For FCPX Timeline,Design,Entry ($),Graphic Design,GBP,30.0,remote,ALL,fixed_price,2023-01-26 02:56:07,"We need an animated ""breathing circle"" that can be dropped onto a Final Cut timeline when editing our sleep, meditation and focus tracks.

Examples;
>> https://www.youtube.com/watch?v=RqoZEa7m3p4

>> https://www.youtube.com/watch?v=xsfyb1pStdw

>> https://www.youtube.com/watch?v=aNXKjGFUlMs

>> https://www.youtube.com/watch?v=bF_1ZiFta-E

We'd like it designed in various colours, as per the examples. So we can use the variations throughout our videos.

The duration needs to be 5 minutes in total. 5 secs in, 5 secs hold, 5 secs out, 5 secs hold - repeat.

At the beginning, it would be great to have words roll through the circle saying;

""Welcome. It's time to relax, unwind and prepare your mind and body for a night of deep sleep. Follow the breathing prompts in the circle.""

""Welcome. It's time for some focused and productive work. Take a moment to centre your mind, by following the breathing prompts in the circle.""

Welcome. It's time to meditate. Follow the breathing prompts in the circle to prepare for a deep and relaxing session.""

All three variations of the ""welcome"" statement will also require a variance of colours mentioned above.

Many thanks,
Rich & Elaine",less than 1 week,2016-12-06,Malton,United Kingdom,GBP,"Personal Trainer, Entrepreneur & Creative Writer"
"Simple landing page clean code HTML, CSS, JS",Technology & Programming,Entry ($),Website Development,GBP,50.0,remote,ALL,fixed_price,2023-01-26 02:57:23,"The page code should be created in 1 day. We are rewriting the code for our website to make it cleaner and more readable. So the page should be recreated in pure html/css/js. No frameworks (no bootstrap, no jquery). JS required for the mobile navigation only. Simple header (leftside logo, rightside navigation), 4 content blocks and footer. I will send the design by request.",,2013-08-07,City of London,United Kingdom,GBP,Web Developer
I need a graphic design assistant ,Design,Expert ($$$),Graphic Design,USD,20.0,remote,ALL,fixed_price,2023-01-26 03:07:17,"I need someone to be closely work with in long term. I am a graphic designer and I need an assistant. Everyday I get a lot of projects and I cannot deliver all of them by myself. I also work full time in a day job so I need someone to cover for me while I’m busy with my day job. 

Preferably in Asia time zone so we can connect with similar time. Must have access to Adobe Illustrator and Photoshop and proficient with it. Small training can be provided if necessary. 

This price set is for two sample projects so I can test your ability if you have the same style as me. Please also send your portfolio so I can screen applicants before proceeding. 

Please also send me your rates. We can further discuss price rates once selected. Work is by project base. If you have any more questions let me know. ",,2020-04-06,Cebu City,Philippines,USD,Graphic Designer and Illustrator
Virtual Assistant,Business,Entry ($),Administration Assistance,GBP,13.0,remote_country,GB,hourly,2023-01-26 02:57:52,"Hello,

I am looking for a virtual personal assistant for 2 hours per week on an ongoing basis. I operate a small recruitment business, am launching a celebrant service and also consult.

The work will be a mix of:
-Small business administrative tasks
- Some bookkeeping and receipt management
- Property research
- Recruitment administration
- Personal admin for myself and partner- reservations, travel etc/ diary management
- Social media management (ad hoc at best)
- ad hoc administration

I'm looking to begin using Asana and ideally will add you to projects to keep a track of tasks and deadlines etc.

If interested please let me know. 

Alysha
",Ongoing,2016-01-15,New Malden,United Kingdom,GBP,
Vector transparent coat of arms style logo & banner for blog,Design,Expert ($$$),Logo Design,USD,125.0,remote,ALL,fixed_price,2023-01-26 02:58:09,"Hi, I am a handicapped blogger and I run a Wix generated blog called The Gimp Chronicles, which is just my thoughts and take on life as a handicapped person on Vancouver Island, in Canada. I am looking for someone to please create a Vector, professional, hand drawn, copyright claim free coat of arms logo for my blog that incorporates the Welsh flag, the Canadian flag and the handicapped sign. More details to come.

Thank you.


Chris",Not sure,2023-01-25,Sooke,Canada,USD,
Need a new website developed ,Design,Expert ($$$),Web Design,USD,500.0,remote,ALL,fixed_price,2023-01-26 02:59:43,"I need a website developed. Mobile friendly and seo friendly etc..Needs to be very futuristic as its a metaverse site with latest tech look ideas. Will have the usual pages like about us, contact us etc, and also a page where we take payment via crypto. For this we need a login page for users to view there payment etc…. Need it up and running within 2/3weeks max. I will provide domain name and server ",,2023-01-25,London,United Kingdom,GBP,
Convert .dwg to a pdf,Design,Entry ($),Interior/Exterior Design,USD,15.0,remote,ALL,fixed_price,2023-01-26 02:58:29,I need the attached converted to a 36x48 pdf,,2018-02-27,Hallettsville,United States,USD,Vice President
Blog Writers: Legal Website / Law Firm Content ,Writing & Translation,Entry ($),Content Writing,GBP,60.0,remote_country,GB,fixed_price,2023-01-25 20:59:16,"I am looking for a good content writer (s) to create regular blogs  or content pages for a website related to Probate.  The website is www.the-probate-network.co.uk

The requirement will mainly be for topical blogs to cover all areas of Probate that will need to be legally / technically / factually correct.  Some will be advice articles (which will be checked by a legal professional) others just sector specific news content. On occassion, we require a case study write up based on information provided by the client.  

Content ideas will be a combination of your inspiration and mine and will need to be approximately 500 words long.  

To be considered I will need to see samples of work and legal or probate experience would be ideal. Good clear use of the english language which is gramatically correct is essential. All work will be checked against a plagiarism checker as the content will be used in both social media and to support SEO strategy so ALL content needs to be unique. ",Ongoing,2021-09-24,Cricklewood,United Kingdom,GBP,
Male VO with American accent - deep voice 15 sec commercial,Music & Audio,Entry ($),Voice-Over,USD,40.0,remote,ALL,fixed_price,2023-01-25 20:59:16,"I have a 15 sec spot that I need asap.  It is for a not for profit group doing a short run.
 Here is the narration:

""Crime Alert Berks is offering a ten-thousand-dollar cash reward for tips leading to the arrest of Luis Alberto Madara Pacheco (pa-CHECK-o). Text Alert Berks to 847411, or call Crime Alert Berks at 877-373-9913.""

  Please let me know if you can do this today or by early tomorrow.
",,2016-09-08,Reading,United States,USD,Producer
MBA Course assignments ,Writing & Translation,Expert ($$$),Research Writing,USD,999.0,remote,ALL,hourly,2023-01-25 20:42:43,"Hi 

I am looking for someone who can do my university assignments 

Course is MBA - online

Contact me only if you are confident to do my assignment as i have been failed previously due to choosing incompetent individual. 

No agencies please

Thanks",,2022-06-03,Telford,United Kingdom,GBP,
I need a small website designing,Design,Expert ($$$),Web Design,GBP,81.0,remote,ALL,fixed_price,2023-01-25 20:34:13,"I am a newly formed marketing company and I require a 3 or 4-page basic website designing.

The URL etc has been secured so if you could get in touch with rough estimates or questions that would be great.

Cheers

Neil




",,2022-10-03,London,United Kingdom,GBP,
Create a dropshipping/ eccommerce  website,Design,Intermediate ($$),Web Design,USD,85.0,remote,ALL,fixed_price,2023-01-25 20:24:25,"I use WordPress with Hostinger  I need my current website rebuilt   worldlouisa.com    .. I want my products to come from Rakuten -- if there is a way to make it automated, that would be awesome, but I want something that Looks good, has great products, seo/tags and meta descriptions--",,2021-01-31,Jonesboro,United States,USD,
Site plans required for events spaces.,Design,Entry ($),Computer-Aided Design (CAD),GBP,31.0,remote,ALL,fixed_price,2023-01-25 20:24:25,"I need a CAD Designer to create site plans for Planning Permission and Building Regulations drawings for local authorities.  The plans are for a sports field so space planning experience will be a bonus.
Please provide examples of similar work if applying.
No time wasters please. 
",1 day or less,2019-03-25,Oxford,United Kingdom,GBP,
Building an Online fitness buisness,Business,Expert ($$$),Consulting,GBP,200.0,remote,ALL,fixed_price,2023-01-25 20:04:46,"Looking for someone who has a proven record in building a profitable online fitness business to support me in building my own 

-You must have at least 5-10 years of experience working in and amongst the fitness industry

-must provide examples of success
-good communication and written skills
-can actually mentor and provide a proper plan of action
-is open to making additional money based on targets being set
-potential business partner too if we align",,2013-09-02,London,United Kingdom,GBP,
Domicillary Care and Supported living ,"Marketing, Branding & Sales",Expert ($$$),Sales & Calls,GBP,110.0,remote,ALL,fixed_price,2023-01-25 19:57:05,"I need  someone to contact the Council  on the Contract we already have for Domicillary Care and Supported living  and built some  clients  for the Company.

Knowledge in Healthcare is important ",,2021-03-10,London,United Kingdom,GBP,
I need an Excel file converted into a Google Sheets file,Technology & Programming,Entry ($),Data Science & Analysis,GBP,15.0,remote,ALL,fixed_price,2023-01-25 19:56:14,"I have an Excel file which analyses UK real estate deals and I need it to be converted into a Google Sheets file. The new Google Sheets file must be fully functional and editable with all the same columns, cells, formulas, colours etc as the current Excel file.

I hate Excel so I need the new file to be functional and easy to use as a Google Sheets file. I must be able to open and edit it easily and be able to have the analyser give me the correct outputs when numbers are plugged in.


Thanks",,2021-08-07,Bournemouth,United Kingdom,GBP,
